标签,内容
0,酒店还是非常的不错，我预定的是套间，服务非常好，随叫随到，结帐非常快。顺便提一句，这个酒店三楼是一个高级KTV，里面的服务小姐非常的漂亮，有机会去看看。
1,1、电池不太强 2、没有任何预装软件；起码电源管理还是需要弄一个的呀，惠普？
1,散热不好，机器用一会就很热，怪不得送散热器呢， 自带的红旗系统很垃圾！！！
1,"闹钟震动,不好,大大的不好.短信铃声比来电铃声还长,还大.这是大大的不好啊~相机一个字:差!!!!!"
1,发热是挺高，静音一般，屏幕一般，还有就是快递公司很差，就放到单位传达室就走了，是EMS，我都没验验货，要是途中摔坏了，我找谁。我刚买一天就赠杀毒软件，过两天又降100，我真晕，强烈不满，请京东给个说法
0,喜欢蒙牛核桃牛奶～我得买去，除酸奶外唯一喜欢的。
1,这本书从结构到情节直至文字都毫无新意，典型的网络文学。如果对小说的要求不高，纯粹是为了解闷或许还能凑合
1,怀着十分激动的心情放映，可是看着看着发现，在放映完毕后，出现一集米老鼠的动画片！开始还怀疑是不是赠送的个别现象，可是后来发现每张DVD后面都有！真不知道生产商怎么想的，我想看的是猫和老鼠，不是米老鼠！如果厂家是想赠送的话，那就全套米老鼠和唐老鸭都赠送，只在每张DVD后面添加一集算什么？？简直是画蛇添足！！
1,这本书只值的娱乐与消遣，不具有任何学术性，因为基本的科学性很不够，即起码的准确性都无法达到。
1,看了一半不想看了，内容就一个，反复絮叨
1,又一蒙牛吐槽
0,电池好，屏幕好 漂亮 实测上网、聊天的话可以坚持6个半小时，还不错
0,外观漂亮，视觉感很好！
0,"背景灯的紫色特别棒,而且这款机的铃声很酷"
0,为了达到那些令人羡慕的拥有， 而在区别彼此的不同，忘了做真正的自己，也许正是因为太多的惯性和常识才让自己更孤单，这套书很好，可惜一直都无法买全，它的另外几本至今也买不到：爱你本来的样子，你所需要的，你很特别……你是特别的，并不需要具有所谓的成就、才能、性格，而是，你本来就是特别的，在这个宇宙 我是独一不二，没人能取代，梦在手里，我可以。
