内容,标签
先从停车场开始说起吧，一个保安都没有，停车场是自由出入的，把车停在那里感觉上是停在了路边的空地上，一点安全感没有。进入酒店大堂开始，就有一种刺鼻的霉味，红色地毯脏得都快变成黑色的了。进入房间后的第一感觉就是被别人给扔进了地下室，就这房间也敢叫豪华房？？马上要求退房被拒绝后，酒店主动给我换了个房间，说是更豪华的房间，结果还是，，，，，不过好在窗户可以打开了，我就开着窗户睡了一会，酒店的浴巾居然带有异味（发霉的味道）我真不知道携程是出于什么心态跟这样的酒店签约，出于价格么？？？接近于四百这也叫便宜？？？奉劝大家千万别住这里。唯一可以算的过去的是，服务态度还不错。,0
"因为是16:9的物理分辨率,整体看起来屏幕比较矮,看高清不错但是玩游戏可能不太习惯需要适应.还有就是送的杀毒软件完全没有太大用处,还不如送鼠标",1
可能是周总理住过 房间比较朴素 陈设与服务简单 不过早餐丰盛,0
外型挺时尚的，拿到手的感觉很好～总体都很满意。叫人很快重装了XP的系统，又加了2G的内存。现在用着相当顺手！,2
专门定的宽带房，竟然无法上网，酒店也没有技术人员,0
零碎的时间也可以成就大事，工作无贵贱之分，做客户就向谈恋爱一样，不但要广结善缘而且还要做好细节，细节决定成败，人脉聚集人气，和气生财，医药代表要做好医药工作，一靠“礼”，二靠“磨”在把善缘和细节融进去，必定能为自己找到一个突破口。,1
在读了《夏洛的网》后我认识了一个可以度过几个春秋天的猪（这本书的２主角）——威尔伯。当然还有主角——夏洛．阿．卡瓦蒂卡——一只蜘蛛。她用她的一生让威尔伯度过了几个春秋。当她在生命的最后一刻，孵化出了她的孩子：五百十四个孩子（小蜘蛛）并让威尔伯带回农场。我觉得这本书可以说是一个动物世界了（当然许多动物没有在这本书中提到，只有我们常见的动物）,2
热水器挺好的，比实体店优惠多了，关键是好用，发货速度 物流速度都快，还有赠品,2
最超值的是6芯电池 华硕的质量有保障， 键盘打字舒服。没有缩小的感觉。,2
网上看前一位老兄的评价订的房，12号只住一晚。刚到的时候的确很热情，安排司机去车站接我们。入住后黎阿姨（店主的妹妹）向我们介绍、推荐景点、行程安排之类的，因我们不喜欢事前安排，喜欢随性游玩，在和黎阿姨聊了一会后并没有让其安排，而是自行安排。在自行安排游玩中了解到，他们安排或者推荐游客都能有一定收益的。第二天，我们退房去游漓江（精华游，从兴坪到杨堤一段漓江），因为行李较多，所以特意问服务员是否可以在杨堤上岸直接去桂林。服务员也不清楚，就跑去问黎阿姨，回来后告知可以在杨堤直接去桂林。这样我们就背上所有行李去游漓江了。然而，实际上漓江精华游，是从阳朔乘车去兴坪镇，兴坪开始乘机动竹筏，逆流而上到杨堤附近，中间不下竹筏直接返回兴坪。这样，就是说我们要背着重重的行李来回跑，而当初的本意是在如果回桂林还是必须返回阳朔，我们就找地方寄存行李，不背着来回跑。很是不厚道啊！总体评价，风景不错，躺床上能看到如画的山山水水（景观房），但是不推荐住，因为到晚上之后就没什么可玩可做，只能去阳朔城里（其实在那里，不管什么宾馆，只要有窗，肯定能看到山水），回来还要找出租车或摩的；房间里边都没有宽带；最好自带洗漱用品；服务员还是很厚道、很淳朴的。,1
前台服务员礼貌好，房间干净整齐，热水的确有忽冷忽热的现象，但影响不大。价格小贵，只值200元以下。,1
"不错,该配置及大厂的做工(应该如此吧)足够满足我这个家用,偶尔做做图写写代码跑跑仿真的人,屏美,散热好",2
很怀疑五星酒店的评价标准。三星都不如，很失望！,0
"酒店有餐厅但只提供早餐,没有午饭和晚饭,要跑到酒店外面自己找饭店去吃,非常不方便.",1
很一般，住的是一楼的房间，窗户后面一堵墙，只看到窗和墙之间的一堆垃圾。房间的隔音不好，楼上饮水机的声音都能听到，房间里饮水机的声音更响，不关无法入睡。最过分的是，住了两天，每天早上起床，最先看到的，就是小强在墙边爬，太恶心了。宾馆商务中心的电脑上网是10元/小时，还打不开网页。总之，整体印象不好。还有提醒大家一点，宾馆用餐的话，餐费是另外开餐饮发票的，不和房费开在一起的。,0
这是一本实用的书，以其简洁的语言附着孟德斯鸠的背景、生平等，并简述其他作品，恰似一本传记的简写本！《论法的精神》其主旨：反教会、反专制、三权分立、地理环境决定论等，一一体现。可以称为孟德斯鸠《论法的精神》妙语、心语集。对于想了解孟德斯鸠，但却囿于时间与精力去翻阅原著的朋友来说，这是一个不错的选择！其中涉及到中国的成分，也堪称本书的优点！,1
这是一个很有才气的年轻人， 每个刚刚走过高中的学子，都不妨读读这本书， 回味一下自己走过的青春花季。古人常云： 少年不识愁滋味， 为赋新词强说愁。不知为何， 当今的少年文笔好的很， 而且文字中很少牵强附会的。随着书中文字的真情宣泄， 读者往往会陷入对往事的追溯， 无论隔了多少代，那几年的生活， 于所有心扉初开的少年都是非常相似的。左手倒影， 右手年华。 青春是舍弃与获得的酸涩抉择。,2
很差，只有一个小小章节是“色戒”，炒作之嫌。,0
本来就不爱看小说，买来之后翻了几页没心思了，送人了,0
刚刚买回来的时候发现书上写着终结，还以为这本书是最后一本，点知不是的。幸好还买了第六本，不是的话都不知道结果呢。在这本书知道陵容的真面目，真是吓了一跳。她怎么可以这样对她真是待她的姐妹呢。她怎可以忘记当年他父亲被甄寰救的事呢？权利果然是每个人都想要的，特别是在后宫这种地方，没有皇上的恩赐，权利、地位就是最大的，也是这种东西才能保住自己。后宫真是恐怖。,2
不是GN40的芯片组，看电影耗CPU太多。偏重了点，放在包里背着有点重。,0
这一套书我基本买齐了，也看了好多本了。是利用闲暇时间巩固英语，学习知识的好东东。当然，再好的东西也要适合才真的能用上，如果你觉得你目前的任务是冲刺学习，那这书不一定适合你。但是，如果，你想有一个长效的学习习惯，你就可以考虑这套英文读物。另外，MP3也很不错，可在上下班的路上听，就像听广播小说，在娱乐中提高了听力。,1
喜欢蒙牛纯奶的新包装,2
冬天吃雪糕才是王道。一直对蒙牛没好感，但老冰棍我非常喜欢。童年的味道，十五年前一毛钱一根，现在要两块钱...,1
读这本书，有种想要去旅行的冲动为了仔细去体会那些风格各异的建筑所传递的意义周围的一切都变得生动起来，一面墙、一扇窗、一个衣柜、一张书桌，都有着她的个性和信仰作者广博的知识、独特的视角、流畅的文字，很喜欢“成为我们所处环境的一个更为有心的读者和作者”“美即对幸福的许诺。有多少种幸福观，就有多少种美。-司汤达”,2
"小家伙只知道自己看图片,书应该更适合父母看,个人觉得价格高了．教育家长的，可以不用买．书里只有图片没有文字，很简单的几页．不值．让父母反醒的，是不是总在对小朋友这不可以，那不可以做．",0
与联想的Y450系列相比，价格有点偏高 应该送个XP驱动光盘，VISTA还是有点不方便,0
这本书装订得很差，拿到书没看一天，就裂成好几份了。仔细一看，这书是立面贴了一长条胶状，所有的书页都靠这层胶粘着，很容易就分裂了。,0
强于N270的CPU速度，比较出众的持续使用时间，不错的键盘大小和手感。,2
硬盘分1个区实在无法接受。随机的1G内存上vista很吃力，加了2G后飞快。 Vista下无法分区，分区软件都不兼容，没办法换回了XP。,0
【荐书】虽然被定义为儿童读物，但是我认为每个时期去读它都能得到不同的感动。小王子是虚构的，因为他并不适合灯红酒绿的这个物流纵横的社会。现今，多少人的思想被禁锢，行动被束缚，言行被约束。大家不约而同的选择了沉默，也许这是大势所趋。但是，小王子正是这样一本可以感动心灵的读物，只有心灵得以进化，生活才可以美好。所有我推荐小王子，他是大众的读物。,1
送货速度很慢，１８号发货，要到年后才能收到！,0
inter 的SSD硬盘 速度超级快，现在用笔记本在也不用像以前那样开机后就小心的放桌子上，不敢随意移动，可以到处拿起走着用，也不用担心硬盘被震动导致硬盘故障！全铝外壳漂亮不留指纹。,2
这本书完全是根据这部电影走红后出版的商业书。内容很不全。里面收集了张的很多长篇小说，但都简化了。,1
不喜欢其人，更不喜欢其文，古韵有些过头，矫情！,0
天天蒙牛冠益乳，增强身体免疫力O(∩_∩)O~@冠益乳,2
性价比高呀，速度快，杜比音效、蓝牙、无线网卡、高清晰的摄像头、内置麦克都不错。机子不重。样式很靓。,2
"房间象80年代的路边小旅馆.通往3楼餐厅的路上,污水横流,黑色的污渍随处可见.房间连电吹风都没有!也没有免费的矿泉水和茶叶包!电脑桌下面的地毯上黑色的污渍到处都是!!更好笑的是,有时打51(前台)后得到的回复是你找52(客房部);然后52又说你找51!!整体而言,还是国企的做法.",0
老板服务很好，东西正品，好评。,2
